sampleID,cynanocobalamin_ug_per_L,Total_Fragment_Area
b12_blank_1 Total Area,0,2.01E+06
b12_blank_2 Total Area,0,2.05E+06
b12_blank_3 Total Area,0,2.09E+06
b12_04ug_1 Total Area,0.4,6.40E+06
b12_04ug_2 Total Area,0.4,7.26E+06
b12_04ug_3 Total Area,0.4,7.69E+06
b12_4ug_1 Total Area,4,5.79E+07
b12_4ug_2 Total Area,4,6.77E+07
b12_4ug_3 Total Area,4,6.43E+07
b12_40ug_1 Total Area,40,5.67E+08
b12_40ug_2 Total Area,40,6.56E+08
b12_40ug_3 Total Area,40,6.00E+08
b12_400ug_1 Total Area,400,7.74E+09
b12_400ug_2 Total Area,400,7.95E+09
b12_400ug_3 Total Area,400,7.75E+09